Award Name,state,survey_year,dataset_version,record_type,award_program,award_type,award_recipient,award_project,funding_level,award_amount,award_duration,plan_doc_count,plan_corridor_miles,plan_doc_sources,evidence_level,source_notes,source_url
Texas Connected Freight Corridors Project,Texas,2017,Planning_Analysis_Default,award,ATCMTD,Deployment,Texas Department of Transportation,Texas Connected Freight Corridors Project,Federal,6090221,Multi-year deployment award,5,30,MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan,OfficialAwardVerified,Official ATCMTD award source.,https://ops.fhwa.dot.gov/fastact/atcmtd/2017/awards/index.htm
I-10 Corridor Coalition TPAS,Texas,2018,Planning_Analysis_Default,award,ATCMTD,Deployment,Texas Department of Transportation,I-10 Corridor Coalition TPAS,Federal,6850000,Multi-year deployment award,5,32,MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan,OfficialAwardVerified,Official ATCMTD award source.,https://ops.fhwa.dot.gov/fastact/atcmtd/2018/awards/index.htm
Planning Baseline - No Verified Federal Award,Texas,2019,Planning_Analysis_Default,planning_baseline,,,,,,0,,5,34,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialNoAwardFound,Official FY2019 ATCMTD list checked; no Texas award found. Mock planning-file evidence included.,
SM Wright Smart Corridor,Texas,2020,Planning_Analysis_Default,award,ATCMTD,Deployment,City of Dallas,SM Wright Smart Corridor,Federal,4000000,Multi-year deployment award,5,36,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official ATCMTD award source.,https://ops.fhwa.dot.gov/fastact/atcmtd/2020/awards/index.htm
Planning Baseline - No Verified Federal Award,Texas,2021,Planning_Analysis_Default,planning_baseline,,,,,,0,,5,38,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialNoAwardFound,Official FY2021 ATCMTD list checked; no Texas award found. Mock planning-file evidence included.,
Harris County Flood Warning System,Texas,2022,Planning_Analysis_Default,award,SMART,Demonstration,Harris County,Harris County Flood Warning System,Federal,2000000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SMART award source.,https://www.transportation.gov/sites/dot.gov/files/2023-03/FY22%20SMART%20Project%20List.pdf
Smarter Intersections Pilot Project,Texas,2022,Planning_Analysis_Default,award,SMART,Demonstration,Texas Department of Transportation,Smarter Intersections Pilot Project,Federal,1900000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SMART award source.,https://www.transportation.gov/sites/dot.gov/files/2023-03/FY22%20SMART%20Project%20List.pdf
Alabama-Coushatta Tribe of Texas Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Alabama-Coushatta Tribe of Texas,Alabama-Coushatta Tribe of Texas Safety Action Plan,Federal,279652,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Bissonnet Corridor Safe Streets Project,Texas,2022,Planning_Analysis_Default,award,SS4A,Implementation,City of Houston,Bissonnet Corridor Safe Streets Project,Federal,28789305,Multi-year implementation award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Bryan-College Station Regional Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Bryan-College Station Metropolitan Planning Organization,Bryan-College Station Regional Safety Action Plan,Federal,210000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Capital Area Metropolitan Planning Organization Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Capital Area Metropolitan Planning Organization,Capital Area Metropolitan Planning Organization Safety Action Plan,Federal,2320000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Central Texas Council of Governments Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Central Texas Council of Governments,Central Texas Council of Governments Action Plan,Federal,1870803,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of Amarillo Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Amarillo,City of Amarillo Safety Action Plan,Federal,240000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of Arlington Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Arlington,City of Arlington Safety Action Plan,Federal,240000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of Carrollton Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Carrollton,City of Carrollton Safety Action Plan,Federal,60000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of DeSoto Comprehensive Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of DeSoto,City of DeSoto Comprehensive Safety Action Plan,Federal,160000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of Fort Worth Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Fort Worth,City of Fort Worth Safety Action Plan,Federal,419506,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of Galveston Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Galveston,City of Galveston Safety Action Plan,Federal,320000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of San Angelo Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of San Angelo,City of San Angelo Safety Action Plan,Federal,400000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
City of Seguin Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Seguin,City of Seguin Safety Action Plan,Federal,265200,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
County of Reeves Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,County of Reeves,County of Reeves Safety Action Plan,Federal,240000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
East End District Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,East End District,East End District Safety Action Plan,Federal,603646,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Midland County Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Midland County,Midland County Safety Action Plan,Federal,240000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Permian Basin Regional Planning Commission Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Permian Basin Regional Planning Commission,Permian Basin Regional Planning Commission Safety Action Plan,Federal,600000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Port of Galveston Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Port of Galveston,Port of Galveston Safety Action Plan,Federal,340000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Rio Grande Valley Metropolitan Planning Organization Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Rio Grande Valley Metropolitan Planning Organization,Rio Grande Valley Metropolitan Planning Organization Safety Action Plan,Federal,200000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Safe and Equitable Mobility for Austin,Texas,2022,Planning_Analysis_Default,award,SS4A,Implementation,City of Austin,Safe and Equitable Mobility for Austin,Federal,22866400,Multi-year implementation award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Travis County Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Travis County,Travis County Safety Action Plan,Federal,350000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Vision Zero Webb Laredo,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Webb County-City of Laredo Regional Mobility Authority,Vision Zero Webb Laredo,Federal,1600000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Waco Metropolitan Planning Organization Safety Action Plan,Texas,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Waco Metropolitan Planning Organization,Waco Metropolitan Planning Organization Safety Action Plan,Federal,560000,1 year planning/demo award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Zarzamora Street Mid-Block Crossings and High-Injury Network Safety Campaigns,Texas,2022,Planning_Analysis_Default,award,SS4A,Implementation,City of San Antonio,Zarzamora Street Mid-Block Crossings and High-Injury Network Safety Campaigns,Federal,4400000,Multi-year implementation award,5,40,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf; https://roadwayinsights.com/ss4a-award-map/
Improving Safety and Mobility Through Connectivity,Texas,2023,Planning_Analysis_Default,award,ATTAIN,Deployment,City of Cedar Park,Improving Safety and Mobility Through Connectivity,Federal,4424000,Multi-year deployment award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official ATTAIN award source.,https://ops.fhwa.dot.gov/infrastructure-investment-and-jobs-act/ATTAIN/fy2023-2024/awards/
Fort Worth Intelligent Micro-Weather Network,Texas,2023,Planning_Analysis_Default,award,SMART,Demonstration,City of Fort Worth,Fort Worth Intelligent Micro-Weather Network,Federal,2000000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SMART award source.,https://www.transportation.gov/sites/dot.gov/files/2025-12/FY23%20SMART%20Project%20List%20for%20Website%20v2.pdf
"A Comprehensive Safety Action Plan for Baytown, Texas",Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Baytown,"A Comprehensive Safety Action Plan for Baytown, Texas",Federal,400000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Advancing Regional Safety in the Dallas-Fort Worth Region,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,North Central Texas Council of Governments,Advancing Regional Safety in the Dallas-Fort Worth Region,Federal,4000000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Alvarado Multimodal Transportation Safety Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Alvarado,Alvarado Multimodal Transportation Safety Plan,Federal,236000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Brownsville Safety Demonstration Project,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Brownsville,Brownsville Safety Demonstration Project,Federal,256244,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Arlington - ADA Transition Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Arlington,City of Arlington - ADA Transition Plan,Federal,385000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Austin Planning Activities,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Austin,City of Austin Planning Activities,Federal,288000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Brackettville's Action Plan Project - Accept Zero,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Brackettville,City of Brackettville's Action Plan Project - Accept Zero,Federal,120000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Frisco TX Safety Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Frisco,City of Frisco TX Safety Action Plan,Federal,280000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of McKinney Safety Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of McKinney,City of McKinney Safety Action Plan,Federal,240000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Port Arthur - Transportation Safety Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Port Arthur,City of Port Arthur - Transportation Safety Plan,Federal,1931696,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Terrell Road Safety Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Terrell,City of Terrell Road Safety Action Plan,Federal,168000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
East Texas Council of Governments Regional Road Safety Proposal,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,East Texas Council of Governments,East Texas Council of Governments Regional Road Safety Proposal,Federal,768000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Greater Northside Safety Implementation Project,Texas,2023,Planning_Analysis_Default,award,SS4A,Implementation,Greater Northside Management District,Greater Northside Safety Implementation Project,Federal,10143200,Multi-year implementation award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/fy23-all-funding-awards-by-state
MLK Jr./Cedar Crest Boulevard Complete Street and Safety Upgrades,Texas,2023,Planning_Analysis_Default,award,SS4A,Implementation,City of Dallas,MLK Jr./Cedar Crest Boulevard Complete Street and Safety Upgrades,Federal,21800000,Multi-year implementation award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/fy23-all-funding-awards-by-state
Mansfield Active Transportation and Safety Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Mansfield,Mansfield Active Transportation and Safety Plan,Federal,548800,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Midlothian Mobility Safety Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Midlothian,Midlothian Mobility Safety Action Plan,Federal,107284,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
"Place-Based Planning and Demonstration Projects for Vulnerable Road User Safety in McLennan County, TX",Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Waco Metropolitan Planning Organization,"Place-Based Planning and Demonstration Projects for Vulnerable Road User Safety in McLennan County, TX",Federal,1200000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Richardson Comprehensive Safety Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Richardson,Richardson Comprehensive Safety Action Plan,Federal,320000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
"SS4A Action Plan Grant for the City of Balch Springs, Texas",Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Balch Springs,"SS4A Action Plan Grant for the City of Balch Springs, Texas",Federal,160000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
"SS4A Action Plan Grant for the City of Mesquite, Texas",Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Mesquite,"SS4A Action Plan Grant for the City of Mesquite, Texas",Federal,256000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Safe Streets and Roads for All,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Gladewater,Safe Streets and Roads for All,Federal,240000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Safety Actions for Houston Southeast,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Greater Southeast Management District,Safety Actions for Houston Southeast,Federal,320000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Saginaw Comprehensive Safety Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Saginaw,Saginaw Comprehensive Safety Action Plan,Federal,184000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
South Plains Association of Governments Safe Streets and Roads for All Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,South Plains Association of Governments,South Plains Association of Governments Safe Streets and Roads for All Action Plan,Federal,960000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Vision Zero Safe Streets Implementation Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Implementation,City of El Paso,Vision Zero Safe Streets Implementation Plan,Federal,9900065,Multi-year implementation award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/fy23-all-funding-awards-by-state
Watauga Safe Streets and Roads for All Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Watauga,Watauga Safe Streets and Roads for All Action Plan,Federal,160000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Weatherford Comprehensive Safety Action Plan,Texas,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Weatherford,Weatherford Comprehensive Safety Action Plan,Federal,224000,1 year planning/demo award,5,42,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
